Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt
0,DR,94536,832400,0,3,Centerville,False
1,PL,94538,832910,0,3,Centerville,False
2,CMN,94538,832620,2,3,Centerville,False
3,PL,94538,832910,0,3,Centerville,False
4,PL,94536,835410,0,3,Downtown / BART,False
5,CMN,94536,835100,0,3,Centerville,False
6,PL,94536,835000,0,3,Downtown / BART,False
7,CT,94536,835500,0,3,Downtown / BART,False
8,RD,94538,832900,0,3,Centerville,False
9,CMN,94538,832620,2,3,Centerville,False
10,AVE,94538,835300,0,3,Downtown / BART,True
11,RD,94538,832900,0,3,Centerville,False
12,CMN,94536,835500,0,3,Downtown / BART,False
13,AVE,94536,835000,0,3,Downtown / BART,False
14,CT,94536,832110,0,3,Centerville,False
15,ST,94536,832110,0,3,Centerville,False
16,ST,94536,835100,0,3,Centerville,False
17,CMN,94538,832610,1,3,Centerville,True
18,ST,94536,832110,0,3,Centerville,False
19,CMN,94538,835310,0,3,Downtown / BART,False
20,CT,94538,832800,0,3,Centerville,False
21,ST,94536,832210,1,3,Centerville,True
22,LN,94538,832610,2,3,Centerville,True
23,CMN,94538,832910,0,3,Centerville,False
24,ST,94536,835000,0,3,Downtown / BART,True
25,RD,94538,832710,0,3,Centerville,False
26,TER,94536,835100,0,3,Centerville,True
27,DR,94538,832900,0,3,Centerville,False
28,ST,94538,832800,0,3,Centerville,False
29,CT,94538,832800,0,3,Centerville,False
30,CT,94536,835500,0,3,Downtown / BART,False
31,CMN,94536,835000,0,3,Downtown / BART,False
32,DR,94538,832810,0,3,Centerville,False
33,CT,94536,835100,0,3,Centerville,False
34,ST,94536,835000,0,3,Downtown / BART,True
35,ST,94538,832710,0,3,Centerville,False
36,PL,94538,832910,0,3,Centerville,False
37,BLVD,94538,835310,0,3,Downtown / BART,True
38,CT,94538,832620,1,3,Centerville,False
39,DR,94538,832710,0,3,Centerville,False
40,LN,94538,832900,0,3,Centerville,False
41,AVE,94538,832400,0,3,Centerville,True
42,BLVD,94538,835310,0,3,Downtown / BART,True
43,CT,94536,832110,0,3,Centerville,False
44,DR,94536,832210,2,3,Centerville,False
45,ST,94536,832210,1,3,Centerville,True
46,ST,94538,832800,0,3,Centerville,False
47,BLVD,94538,835310,0,3,Downtown / BART,True
48,CMN,94536,835100,0,3,Centerville,False
49,WAY,94536,835040,0,3,Downtown / BART,False
