Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt
0,CT,94536,835100,0,3,Centerville,False
1,DR,94536,832110,0,3,Centerville,False
2,BLVD,94538,835310,0,3,Downtown / BART,True
3,PL,94538,832910,0,3,Centerville,False
4,TER,94536,835100,0,3,Centerville,True
5,CT,94536,835410,0,3,Downtown / BART,False
6,RD,94538,832900,0,3,Centerville,False
7,DR,94536,835200,0,3,Centerville,True
8,DR,94536,835300,0,3,Downtown / BART,True
9,BLVD,94538,832810,0,3,Centerville,False
10,RD,94538,832600,1,3,Centerville,False
11,RD,94538,832810,0,3,Centerville,False
12,RD,94536,832400,0,3,Centerville,True
13,AVE,94536,832400,0,3,Centerville,False
14,DR,94536,835300,0,3,Downtown / BART,True
15,AVE,94538,832400,0,3,Centerville,True
16,CMN,94536,835400,0,3,Downtown / BART,False
17,CMN,94538,832910,0,3,Centerville,False
18,DR,94538,832800,0,3,Centerville,False
19,AVE,94538,832710,0,3,Centerville,False
20,WAY,94538,832710,0,3,Centerville,False
21,CT,94536,835010,0,3,Centerville,False
22,DR,94538,832710,0,3,Centerville,False
23,DR,94538,832620,2,3,Centerville,True
24,AVE,94536,835200,0,3,Centerville,True
25,WAY,94536,832400,0,3,Centerville,False
26,WAY,94538,832620,1,3,Centerville,False
27,ST,94536,835400,0,3,Downtown / BART,False
28,CT,94536,835040,0,3,Downtown / BART,False
29,PL,94536,835500,0,3,Downtown / BART,False
30,CT,94536,835410,0,3,Downtown / BART,False
31,CMN,94536,835010,0,3,Centerville,False
32,AVE,94538,835300,0,3,Downtown / BART,True
33,BLVD,94538,835310,0,3,Downtown / BART,True
34,PL,94538,832910,0,3,Centerville,False
35,BLVD,94538,835310,0,3,Downtown / BART,True
36,BLVD,94536,835100,0,3,Centerville,True
37,CT,94538,832810,0,3,Centerville,False
38,RD,94538,832600,1,3,Centerville,False
39,WAY,94538,832900,0,3,Centerville,False
40,DR,94536,832400,0,3,Centerville,False
41,AVE,94538,835300,0,3,Downtown / BART,True
42,ST,94538,832800,0,3,Centerville,False
43,DR,94538,832810,0,3,Centerville,False
44,CT,94536,831730,0,3,Downtown / BART,False
45,CT,94536,835010,0,3,Centerville,False
46,AVE,94536,835200,0,3,Centerville,True
47,CT,94538,832600,1,3,Centerville,False
48,CT,94536,831730,0,3,Downtown / BART,False
49,CT,94536,835100,0,3,Centerville,False
50,AVE,94538,835310,0,3,Downtown / BART,True
51,TER,94538,832910,0,3,Centerville,False
52,BLVD,94538,832620,2,3,Centerville,False
53,ST,94536,835200,0,3,Centerville,True
54,ST,94538,832810,0,3,Centerville,False
55,BLVD,94538,832700,2,3,Centerville,True
56,BLVD,94538,832610,2,3,Centerville,False
57,CT,94536,831730,0,3,Downtown / BART,False
58,AVE,94536,835300,0,3,Downtown / BART,True
59,AVE,94538,835300,0,3,Downtown / BART,True
60,CT,94538,832620,1,3,Centerville,False
61,WAY,94538,832610,2,3,Centerville,True
62,DR,94538,832620,1,3,Centerville,False
63,PL,94538,832910,0,3,Centerville,False
64,AVE,94538,835300,0,3,Downtown / BART,True
65,WAY,94536,832110,0,3,Centerville,False
66,CT,94538,832900,0,3,Centerville,False
67,AVE,94536,835200,0,3,Centerville,True
68,CT,94538,832900,0,3,Centerville,False
69,ST,94538,832810,0,3,Centerville,False
70,CMN,94538,835310,0,3,Downtown / BART,False
71,CT,94536,835400,0,3,Downtown / BART,False
72,AVE,94536,835420,0,3,Downtown / BART,False
73,CMN,94536,835100,0,3,Centerville,False
74,CT,94536,835040,0,3,Downtown / BART,False
75,BLVD,94536,832210,1,3,Centerville,True
76,CT,94538,832800,0,3,Centerville,False
77,PL,94538,832910,0,3,Centerville,False
78,DR,94536,835300,0,3,Downtown / BART,True
79,WAY,94538,832900,0,3,Centerville,False
80,ST,94538,832800,0,3,Centerville,False
81,ST,94536,835000,0,3,Downtown / BART,True
82,BLVD,94538,832700,2,3,Centerville,True
83,ST,94536,835300,0,3,Downtown / BART,True
84,CMN,94538,835310,0,3,Downtown / BART,False
85,PL,94538,832910,0,3,Centerville,False
86,CMN,94538,832910,0,3,Centerville,False
87,DR,94536,832210,2,3,Centerville,False
88,CMN,94536,835100,0,3,Centerville,False
89,TER,94538,832910,0,3,Centerville,False
90,ST,94536,835200,0,3,Centerville,True
91,DR,94536,835400,0,3,Downtown / BART,False
92,CMN,94536,835300,0,3,Downtown / BART,False
93,BLVD,94538,832810,0,3,Centerville,False
94,DR,94538,832800,0,3,Centerville,False
95,ST,94536,835200,0,3,Centerville,True
96,ST,94536,835200,0,3,Centerville,True
97,ST,94538,832810,0,3,Centerville,False
98,CMN,94538,835310,0,3,Downtown / BART,False
99,DR,94536,832210,1,3,Centerville,True
100,CMN,94538,832620,2,3,Centerville,False
101,AVE,94538,832400,0,3,Centerville,True
102,RD,94538,832900,0,3,Centerville,False
103,LN,94538,832810,0,3,Centerville,False
104,ST,94536,832210,1,3,Centerville,True
105,AVE,94538,835300,0,3,Downtown / BART,True
106,DR,94536,832400,0,3,Centerville,False
107,CMN,94538,835310,0,3,Downtown / BART,False
108,DR,94536,835400,0,3,Downtown / BART,False
109,BLVD,94536,835000,0,3,Downtown / BART,True
110,CMN,94536,835100,0,3,Centerville,False
111,PKWY,94536,835300,0,3,Downtown / BART,True
112,AVE,94538,835310,0,3,Downtown / BART,True
113,CT,94538,832800,0,3,Centerville,False
114,AVE,94536,835300,0,3,Downtown / BART,True
115,DR,94538,832810,0,3,Centerville,False
116,DR,94536,835300,0,3,Downtown / BART,True
117,PL,94538,832910,0,3,Centerville,False
118,CT,94536,831730,0,3,Downtown / BART,False
119,TER,94538,832910,0,3,Centerville,False
120,DR,94538,832810,0,3,Centerville,False
121,RD,94538,832900,0,3,Centerville,False
122,BLVD,94538,835310,0,3,Downtown / BART,True
123,PL,94538,832910,0,3,Centerville,False
124,CT,94536,831730,0,3,Downtown / BART,False
125,ST,94538,832800,0,3,Centerville,False
126,AVE,94536,835420,0,3,Downtown / BART,False
127,ST,94538,832800,0,3,Centerville,False
128,AVE,94536,835200,0,3,Centerville,True
129,AVE,94536,835040,0,3,Downtown / BART,False
130,DR,94538,832600,1,3,Centerville,False
131,CMN,94538,832620,2,3,Centerville,False
132,AVE,94536,835040,0,3,Downtown / BART,False
133,CT,94538,832810,0,3,Centerville,False
134,GRN,94536,835400,0,3,Downtown / BART,False
135,LN,94538,832610,2,3,Centerville,True
136,ST,94536,835400,0,3,Downtown / BART,True
