Vid,Abbr,Precinct,PrecinctSub,Party,RegDate,PAV,RegDateOriginal,E6_110816,E5_060716,E4_110414,E3_060314,E2_110612,E1_060512,District,VoterScore,VoterScorePossible,VoterScorePctOfPoss,BirthYear,havePhone,BirthPlaceState,BirthPlaceCountry,Gender,sameMailAddress,MailCountry,isApt,Zip,StreetType,EmailProvider,E5_060716BT,E1_060512BT,Tot_Possible_Votes,Act_Votes,Pct_Possible_Votes,Hid
0,82,832400,0,DEM,1992-10-05,Y,1992-10-05,A,A,V,V,V,V,3,11.0063,11.0063,1.0,1960,True,California,USA,F,True,,False,94536,WAY,ukn,DEM,DEM,6,6,1.0,1924
1,82,832910,0,DEM,2012-11-06,Y,2012-10-26,A,A,V,N,V,,3,8.8023,10.0031,0.88,1966,True,UKN,Mexico,M,True,,False,94538,PL,ukn,DEM,,5,4,0.8,4012
2,12,832900,0,DEM,2012-11-06,Y,1980-07-25,A,A,A,N,V,A,3,9.8055,11.0063,0.89,1958,True,California,USA,M,True,,False,94538,DR,ukn,DEM,DEM,6,5,0.8333333333333334,3380
3,99,832710,0,NPP,2016-09-15,N,2016-09-15,N,,N,N,N,N,3,0.0,11.0063,0.0,1987,False,UKN,UKN,F,True,,True,94538,CT,ukn,,,5,0,0.0,628
4,111,832210,1,DEM,2018-02-13,Y,2018-02-13,,,,,,,3,0.0,-1.0,-1.0,1995,False,UKN,UKN,M,True,,True,94536,BLVD,ukn,,,0,0,-1.0,1109
5,99,835300,0,REP,2018-01-11,Y,2018-01-11,,,,,,,3,0.0,-1.0,-1.0,1973,False,UKN,UKN,F,True,,False,94536,CMN,ukn,,,0,0,-1.0,5355
6,12,835410,0,REP,2016-06-07,Y,2010-10-18,A,V,V,A,A,V,3,11.0063,11.0063,1.0,1992,True,California,USA,M,True,,False,94536,CT,ukn,REP,REP,6,6,1.0,902
7,32,835310,0,NPP,2003-10-18,Y,2003-10-18,A,A,A,A,A,N,3,10.0031,11.0063,0.91,1952,True,UKN,Russian Federation,F,True,,True,94538,BLVD,ukn,NPP,NP,6,5,0.8333333333333334,670
8,99,832610,2,DEM,2013-04-03,N,2013-04-03,V,N,N,N,,,3,2.5001,8.5015,0.29,1972,True,Minnesota,USA,M,True,,True,94538,WAY,yahoo.com,,,4,1,0.25,4087
9,1,835400,0,DEM,2018-05-04,Y,1998-07-02,N,N,A,N,N,N,3,1.8004,11.0063,0.16,1964,False,California,USA,M,True,,False,94536,CT,ukn,REP,REP,6,1,0.16666666666666666,1224
10,16,835010,0,REP,2008-04-17,Y,2002-07-25,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1933,False,UKN,Viet Nam,M,True,,False,94536,CT,ukn,REP,REP,6,6,1.0,2202
11,82,832600,1,DEM,2000-10-10,Y,2000-10-10,A,A,N,N,N,N,3,5.5003,11.0063,0.5,1959,True,UKN,China,F,True,,False,94538,RD,ukn,DEM,,6,2,0.3333333333333333,6508
12,1,832600,1,DEM,2016-10-17,Y,1998-05-04,A,N,A,A,N,N,3,5.5013,11.0063,0.5,1970,False,UKN,UKN,M,True,,False,94538,AVE,ukn,DEM,DEM,6,3,0.5,3132
