Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt,cHid
0,DR,94536,832400,0,3,Centerville,False,0
1,PL,94538,832910,0,3,Centerville,False,1
2,CMN,94538,832620,2,3,Centerville,False,2
3,PL,94538,832910,0,3,Centerville,False,3
4,PL,94536,835410,0,3,Downtown / BART,False,4
5,CMN,94536,835100,0,3,Centerville,False,5
6,PL,94536,835000,0,3,Downtown / BART,False,6
7,CT,94536,835500,0,3,Downtown / BART,False,7
8,RD,94538,832900,0,3,Centerville,False,8
9,CMN,94538,832620,2,3,Centerville,False,9
10,AVE,94538,835300,0,3,Downtown / BART,True,10
11,RD,94538,832900,0,3,Centerville,False,11
12,CMN,94536,835500,0,3,Downtown / BART,False,12
13,AVE,94536,835000,0,3,Downtown / BART,False,13
14,CT,94536,832110,0,3,Centerville,False,14
15,ST,94536,832110,0,3,Centerville,False,15
16,ST,94536,835100,0,3,Centerville,False,16
17,CMN,94538,832610,1,3,Centerville,False,17
18,ST,94536,832110,0,3,Centerville,False,18
19,CMN,94538,835310,0,3,Downtown / BART,False,19
20,CT,94538,832800,0,3,Centerville,False,20
21,ST,94536,832210,1,3,Centerville,True,21
22,LN,94538,832610,2,3,Centerville,True,22
23,CMN,94538,832910,0,3,Centerville,False,23
24,ST,94536,835000,0,3,Downtown / BART,True,24
25,RD,94538,832710,0,3,Centerville,False,25
26,TER,94536,835100,0,3,Centerville,True,26
27,DR,94538,832900,0,3,Centerville,False,27
28,ST,94538,832800,0,3,Centerville,False,28
29,CT,94538,832800,0,3,Centerville,False,29
30,CT,94536,835500,0,3,Downtown / BART,False,30
31,CMN,94536,835000,0,3,Downtown / BART,False,31
32,DR,94538,832810,0,3,Centerville,False,32
33,CT,94536,835100,0,3,Centerville,False,33
34,ST,94536,835000,0,3,Downtown / BART,True,34
35,ST,94538,832710,0,3,Centerville,False,35
36,PL,94538,832910,0,3,Centerville,False,36
37,BLVD,94538,835310,0,3,Downtown / BART,True,37
38,CT,94538,832620,1,3,Centerville,False,38
39,DR,94538,832710,0,3,Centerville,False,39
40,LN,94538,832900,0,3,Centerville,False,40
41,AVE,94538,832400,0,3,Centerville,True,41
42,BLVD,94538,835310,0,3,Downtown / BART,True,42
43,CT,94536,832110,0,3,Centerville,False,43
44,DR,94536,832210,2,3,Centerville,False,44
45,ST,94536,832210,1,3,Centerville,True,45
46,ST,94538,832800,0,3,Centerville,False,46
47,BLVD,94538,835310,0,3,Downtown / BART,True,47
48,CMN,94536,835100,0,3,Centerville,False,48
49,WAY,94536,835040,0,3,Downtown / BART,False,49
50,AVE,94538,835300,0,3,Downtown / BART,True,50
51,CT,94538,832600,1,3,Centerville,False,51
52,BLVD,94538,835310,0,3,Downtown / BART,True,52
53,WAY,94536,832400,0,3,Centerville,False,53
54,DR,94538,832620,2,3,Centerville,True,54
55,AVE,94536,835000,0,3,Downtown / BART,False,55
56,CT,94536,832400,0,3,Centerville,False,56
57,WAY,94538,832900,0,3,Centerville,False,57
58,CMN,94536,835100,0,3,Centerville,True,58
59,AVE,94536,835040,0,3,Downtown / BART,False,59
60,DR,94538,832800,0,3,Centerville,False,60
61,TER,94538,832610,2,3,Centerville,False,61
62,DR,94536,832400,0,3,Centerville,False,62
63,CMN,94536,835100,0,3,Centerville,True,63
64,DR,94538,832620,2,3,Centerville,True,64
65,DR,94538,832610,1,3,Centerville,False,65
66,DR,94536,835400,0,3,Downtown / BART,True,66
67,DR,94538,832610,2,3,Centerville,True,67
68,BLVD,94538,832700,2,3,Centerville,True,68
69,LOOP,94536,835010,0,3,Centerville,False,69
70,AVE,94536,835500,0,3,Downtown / BART,False,70
71,BLVD,94536,832210,1,3,Centerville,True,71
72,RD,94538,832810,0,3,Centerville,True,72
73,DR,94538,832810,0,3,Centerville,False,73
74,CT,94536,835010,0,3,Centerville,False,74
75,AVE,94536,832210,2,3,Centerville,False,75
76,AVE,94536,832400,0,3,Centerville,False,76
77,ST,94536,835200,0,3,Centerville,True,77
78,AVE,94536,835200,0,3,Centerville,True,78
79,DR,94536,835100,0,3,Centerville,False,79
80,BLVD,94538,835310,0,3,Downtown / BART,True,80
81,PKWY,94536,835200,0,3,Centerville,True,81
82,DR,94538,832810,0,3,Centerville,False,82
83,WAY,94538,832900,0,3,Centerville,False,83
84,CT,94536,831730,0,3,Downtown / BART,False,84
85,WAY,94538,832620,2,3,Centerville,False,85
86,DR,94538,832800,0,3,Centerville,False,86
87,PL,94536,835410,0,3,Downtown / BART,False,87
88,DR,94538,832620,2,3,Centerville,False,88
89,DR,94536,835300,0,3,Downtown / BART,True,89
