Vid,Abbr,Precinct,PrecinctSub,Party,RegDate,PAV,RegDateOriginal,E6_110816,E5_060716,E4_110414,E3_060314,E2_110612,E1_060512,District,VoterScore,VoterScorePossible,VoterScorePctOfPoss,BirthYear,OldestInHouseBirthYear,IsOldestInHouse,havePhone,BirthPlaceState,BirthPlaceCountry,Gender,sameMailAddress,MailCountry,isApt,Zip,StreetType,EmailProvider,E5_060716BT,E1_060512BT,Hid,cHid,e_sum,E34_nVotesPos,E34_nVotes,E34_nVotesPct,E56_nVotesPos,E56_nVotes,E56_nVotesPct,E78_nVotesPos,E78_nVotes,E78_nVotesPct
0,82,832400,0,DEM,1992-10-05,Y,1992-10-05,A,A,V,V,V,V,3,11.0063,11.0063,1.0,1960,1956,False,True,California,USA,F,True,,False,94536,WAY,unk,DEM,DEM,1924,1924,VVVVAA,2,2,1.0,4,4,1.0,6,6,1.0
1,82,832910,0,DEM,2012-11-06,Y,2012-10-26,A,A,V,N,V,,3,8.8023,10.0031,0.88,1966,1948,False,True,UNK,Mexico,M,True,,False,94538,PL,unk,DEM,,4012,4012,VVNAA,1,1,1.0,3,2,0.6666666666666666,5,4,0.8
2,12,832900,0,DEM,2012-11-06,Y,1980-07-25,A,A,A,N,V,A,3,9.8055,11.0063,0.89,1958,1958,True,True,California,USA,M,True,,False,94538,DR,unk,DEM,DEM,3380,3380,VAANAA,2,2,1.0,4,3,0.75,6,5,0.8333333333333334
3,99,832710,0,NPP,2016-09-15,N,2016-09-15,N,,N,N,N,N,3,0.0,11.0063,0.0,1987,1964,False,False,UNK,UNK,F,True,,True,94538,CT,unk,,,628,628,NNNNN,2,0,0.0,4,0,0.0,5,0,0.0
4,111,832210,1,DEM,2018-02-13,Y,2018-02-13,,,,,,,3,0.0,-1.0,-1.0,1995,1995,True,False,UNK,UNK,M,True,,True,94536,BLVD,unk,,,1109,1109,,0,0,-1.0,0,0,-1.0,0,0,-1.0
5,99,835300,0,REP,2018-01-11,Y,2018-01-11,,,,,,,3,0.0,-1.0,-1.0,1973,1973,False,False,UNK,UNK,F,True,,False,94536,CMN,unk,,,5355,5355,,0,0,-1.0,0,0,-1.0,0,0,-1.0
6,12,835410,0,REP,2016-06-07,Y,2010-10-18,A,V,V,A,A,V,3,11.0063,11.0063,1.0,1992,1958,False,True,California,USA,M,True,,False,94536,CT,unk,REP,REP,902,902,AVVAAV,2,2,1.0,4,4,1.0,6,6,1.0
7,32,835310,0,NPP,2003-10-18,Y,2003-10-18,A,A,A,A,A,N,3,10.0031,11.0063,0.91,1952,1945,False,True,UNK,Russian Federation,F,True,,True,94538,BLVD,unk,NPP,NP,670,670,ANAAAA,2,1,0.5,4,3,0.75,6,5,0.8333333333333334
8,99,832610,2,DEM,2013-04-03,N,2013-04-03,V,N,N,N,,,3,2.5001,8.5015,0.29,1972,1972,True,True,Minnesota,USA,M,True,,True,94538,WAY,yahoo.com,,,4087,4087,NNVN,0,0,-1.0,2,0,0.0,4,1,0.25
9,1,835400,0,DEM,2018-05-04,Y,1998-07-02,N,N,A,N,N,N,3,1.8004,11.0063,0.16,1964,1938,False,False,California,USA,M,True,,False,94536,CT,unk,REP,REP,1224,1224,NNANNN,2,0,0.0,4,1,0.25,6,1,0.16666666666666666
10,16,835010,0,REP,2008-04-17,Y,2002-07-25,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1933,1933,True,False,UNK,Viet Nam,M,True,,False,94536,CT,unk,REP,REP,2202,2202,AAAAAA,2,2,1.0,4,4,1.0,6,6,1.0
11,82,832600,1,DEM,2000-10-10,Y,2000-10-10,A,A,N,N,N,N,3,5.5003,11.0063,0.5,1959,1956,False,True,UNK,China,F,True,,False,94538,RD,unk,DEM,,6508,6508,NNNNAA,2,0,0.0,4,0,0.0,6,2,0.3333333333333333
12,1,832600,1,DEM,2016-10-17,Y,1998-05-04,A,N,A,A,N,N,3,5.5013,11.0063,0.5,1970,1970,True,False,UNK,UNK,M,True,,False,94538,AVE,unk,DEM,DEM,3132,3132,NNAAAN,2,0,0.0,4,2,0.5,6,3,0.5
13,111,832700,2,NPP,2016-03-30,Y,2016-03-30,A,A,,,,,3,5.5003,5.5003,1.0,1986,1957,False,False,California,USA,M,True,,True,94538,BLVD,unk,NPP,,4464,4464,AA,0,0,-1.0,0,0,-1.0,2,2,1.0
14,1,835100,0,AI,2017-11-07,Y,2017-11-07,,,,,,,3,0.0,-1.0,-1.0,1991,1925,False,False,California,USA,M,True,,False,94536,TER,gmail.com,,,5091,5091,,0,0,-1.0,0,0,-1.0,0,0,-1.0
15,16,835500,0,DEM,2008-10-20,N,2008-10-20,N,N,N,N,N,N,3,0.0,11.0063,0.0,1984,1976,False,True,UNK,Afghanistan,M,True,,False,94536,CT,unk,,,3861,3861,NNNNNN,2,0,0.0,4,0,0.0,6,0,0.0
16,99,832210,1,NPP,2012-10-08,Y,2012-10-08,N,N,A,N,A,,3,3.302,10.0031,0.33,1970,1970,True,False,UNK,China,UNK,True,,True,94538,AVE,unk,NPP,,3382,3382,AANNN,1,1,1.0,3,2,0.6666666666666666,5,2,0.4
