Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt,cHid,nVoters,nAff,nPAVs,nDEMs,nREPs,nNPPs,nVScorePos,nVScore,nVScorePct,E34_nVotesPos,E34_nVotes,E34_nVotesPct,E56_nVotesPos,E56_nVotes,E56_nVotesPct,E78_nVotesPos,E78_nVotes,E78_nVotesPct,E12_nVotesPos,E12_nVotes,E12_nVotesPct,E14_nVotesPos,E14_nVotes,E14_nVotesPct,E16_nVotesPos,E16_nVotes,E16_nVotesPct,Eap_nVotesPos,Eap_nVotes,Eap_nVotesPct,Eag_nVotesPos,Eag_nVotes,Eag_nVotesPct,E1_nVotesPos,E1_nVotes,E1_nVotesPct,E2_nVotesPos,E2_nVotes,E2_nVotesPct,E3_nVotesPos,E3_nVotes,E3_nVotesPct,E4_nVotesPos,E4_nVotes,E4_nVotesPct,E5_nVotesPos,E5_nVotes,E5_nVotesPct,E6_nVotesPos,E6_nVotes,E6_nVotesPct,PartiesInHH,mostAffls,mixedAffls,allAff,uniformAff
0,DR,94536,832400,0,3,Centerville,False,0,2,1,2,1,0,1,11.0063,0.0,0.0,2,0,0.0,4,0,0.0,6,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,3,0,0.0,3,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,DEM NPP,DEM,False,False,False
1,PL/TER,94538,832910,0,3,Centerville,False,1,3,2,3,0,2,1,33.0189,19.1109,0.578786694892925,6,4,0.6666666666666666,12,6,0.5,18,10,0.5555555555555556,6,4,0.6666666666666666,6,2,0.3333333333333333,6,4,0.6666666666666666,9,3,0.3333333333333333,9,7,0.7777777777777778,3,2,0.6666666666666666,3,2,0.6666666666666666,3,0,0.0,3,2,0.6666666666666666,3,1,0.3333333333333333,3,3,1.0,REP REP NPP,REP,False,False,False
2,CMN,94538,832620,2,3,Centerville,False,2,3,3,3,3,0,0,33.0189,30.0093,0.9088522028292886,6,3,0.5,12,9,0.75,18,15,0.8333333333333334,6,3,0.5,6,6,1.0,6,6,1.0,9,6,0.6666666666666666,9,9,1.0,3,0,0.0,3,3,1.0,3,3,1.0,3,3,1.0,3,3,1.0,3,3,1.0,DEM DEM DEM,DEM,False,True,True
3,PL/TER,94538,832910,0,3,Centerville,False,3,2,2,2,2,0,0,22.0126,22.0126,1.0,4,4,1.0,8,8,1.0,12,12,1.0,4,4,1.0,4,4,1.0,4,4,1.0,6,6,1.0,6,6,1.0,2,2,1.0,2,2,1.0,2,2,1.0,2,2,1.0,2,2,1.0,2,2,1.0,DEM DEM,DEM,False,True,True
4,PL/TER,94536,835410,0,3,Downtown / BART,False,4,4,4,4,4,0,0,38.5192,24.606500000000004,0.6388112941078736,6,3,0.5,12,5,0.4166666666666667,20,11,0.55,6,3,0.5,6,2,0.3333333333333333,8,6,0.75,10,3,0.3,10,8,0.8,3,0,0.0,3,3,1.0,3,0,0.0,3,2,0.6666666666666666,4,3,0.75,4,3,0.75,DEM DEM DEM DEM,DEM,False,True,True
5,CMN,94536,835100,0,3,Centerville,False,5,3,2,0,1,0,1,22.0069,7.0019,0.31816839264049,2,1,0.5,4,1,0.25,10,3,0.3,2,1,0.5,2,0,0.0,6,2,0.3333333333333333,5,1,0.2,5,2,0.4,1,0,0.0,1,1,1.0,1,0,0.0,1,0,0.0,3,1,0.3333333333333333,3,1,0.3333333333333333,AI DEM NPP,TIE,True,False,False
6,PL/TER,94536,835000,0,3,Downtown / BART,False,6,2,1,0,0,1,1,22.0126,8.8023,0.3998755258352035,4,1,0.25,8,2,0.25,12,4,0.3333333333333333,4,1,0.25,4,1,0.25,4,2,0.5,6,1,0.16666666666666666,6,3,0.5,2,0,0.0,2,1,0.5,2,0,0.0,2,1,0.5,2,1,0.5,2,1,0.5,NPP REP,REP,False,False,False
7,CT,94536,835500,0,3,Downtown / BART,False,7,2,2,0,0,1,0,22.0126,12.0078,0.5454966700889491,4,3,0.75,8,5,0.625,12,7,0.5833333333333334,4,3,0.75,4,2,0.5,4,2,0.5,6,2,0.3333333333333333,6,5,0.8333333333333334,2,1,0.5,2,2,1.0,2,1,0.5,2,1,0.5,2,0,0.0,2,2,1.0,REP GRN,TIE,True,True,False
8,OTH,94538,832900,0,3,Centerville,False,8,1,1,1,1,0,0,11.0063,11.0063,1.0,2,2,1.0,4,4,1.0,6,6,1.0,2,2,1.0,2,2,1.0,2,2,1.0,3,3,1.0,3,3,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,DEM,DEM,False,True,True
9,CMN,94538,832620,2,3,Centerville,False,9,2,0,0,0,0,1,10.0031,1.8004,0.1799842048964821,1,0,0.0,3,1,0.3333333333333333,5,1,0.2,1,0,0.0,2,1,0.5,2,0,0.0,2,0,0.0,3,1,0.3333333333333333,0,0,-1.0,1,0,0.0,1,0,0.0,1,1,1.0,1,0,0.0,1,0,0.0,UNK NPP,NPP,False,False,False
